,City,month,test_type,count
0,Alabama,3,positive,220066.0
1,Alabama,4,positive,116864.0
2,Alabama,5,positive,356718.0
3,Alabama,6,positive,779845.0
4,Alabama,7,positive,1868658.0
5,Alabama,8,positive,3314875.0
6,Alabama,9,positive,4198655.0
7,Alabama,10,positive,5293940.0
8,Alabama,11,positive,6527268.0
9,Alabama,12,positive,1551399.0
10,Alaska,3,positive,661.0
11,Alaska,4,positive,8063.0
12,Alaska,5,positive,12160.0
13,Alaska,6,positive,20041.0
14,Alaska,7,positive,53702.0
15,Alaska,8,positive,128846.0
16,Alaska,9,positive,192640.0
17,Alaska,10,positive,332270.0
18,Alaska,11,positive,674674.0
19,Alaska,12,positive,197983.0
20,Arizona,3,positive,237943.0
21,Arizona,4,positive,122295.0
22,Arizona,5,positive,404821.0
23,Arizona,6,positive,1232979.0
24,Arizona,7,positive,4008248.0
25,Arizona,8,positive,5922373.0
26,Arizona,9,positive,6303038.0
27,Arizona,10,positive,7113669.0
28,Arizona,11,positive,8354417.0
29,Arizona,12,positive,2062357.0
30,Arkansas,3,positive,423350.0
31,Arkansas,4,positive,49660.0
32,Arkansas,5,positive,145016.0
33,Arkansas,6,positive,385174.0
34,Arkansas,7,positive,946094.0
35,Arkansas,8,positive,1613808.0
36,Arkansas,9,positive,2149957.0
37,Arkansas,10,positive,2995642.0
38,Arkansas,11,positive,3983547.0
39,Arkansas,12,positive,979018.0
40,California,3,positive,478847.0
41,California,4,positive,766011.0
42,California,5,positive,2348693.0
43,California,6,positive,4646867.0
44,California,7,positive,10901396.0
45,California,8,positive,18684239.0
46,California,9,positive,22750449.0
47,California,10,positive,26667963.0
48,California,11,positive,30951372.0
49,California,12,positive,7546826.0
50,Colorado,3,positive,1357391.0
51,Colorado,4,positive,251995.0
52,Colorado,5,positive,651171.0
53,Colorado,6,positive,880530.0
54,Colorado,7,positive,1199607.0
55,Colorado,8,positive,1626720.0
56,Colorado,9,positive,1883372.0
57,Colorado,10,positive,2600927.0
58,Colorado,11,positive,4897979.0
59,Colorado,12,positive,1468165.0
60,Connecticut,3,positive,281068.0
61,Connecticut,4,positive,439750.0
62,Connecticut,5,positive,1108483.0
63,Connecticut,6,positive,1344347.0
64,Connecticut,7,positive,1480379.0
