,date,City,positive,negative
1,2020-01-23,Washington,0.0,0.0
2,2020-01-24,Washington,0.0,0.0
3,2020-01-25,Washington,0.0,0.0
4,2020-01-26,Washington,0.0,0.0
5,2020-01-27,Washington,0.0,0.0
6,2020-01-28,Washington,0.0,0.0
7,2020-01-29,Washington,0.0,0.0
8,2020-01-30,Washington,0.0,0.0
9,2020-01-31,Washington,0.0,0.0
10,2020-02-01,Washington,0.0,0.0
11,2020-02-02,Washington,0.0,0.0
12,2020-02-03,Washington,0.0,0.0
13,2020-02-04,Washington,0.0,0.0
14,2020-02-05,Washington,0.0,0.0
15,2020-02-06,Washington,0.0,0.0
16,2020-02-07,Washington,0.0,0.0
17,2020-02-08,Washington,0.0,0.0
18,2020-02-09,Washington,0.0,0.0
19,2020-02-10,Washington,0.0,0.0
20,2020-02-11,Washington,0.0,0.0
21,2020-02-12,Washington,0.0,0.0
22,2020-02-13,Washington,0.0,0.0
23,2020-02-14,Washington,0.0,0.0
24,2020-02-15,Washington,0.0,0.0
25,2020-02-16,Washington,0.0,0.0
26,2020-02-17,Washington,0.0,0.0
27,2020-02-18,Washington,0.0,0.0
28,2020-02-19,Washington,0.0,0.0
29,2020-02-20,Washington,0.0,0.0
30,2020-02-21,Washington,0.0,0.0
31,2020-02-22,Washington,0.0,0.0
32,2020-02-23,Washington,0.0,0.0
33,2020-02-24,Washington,0.0,0.0
34,2020-02-25,Washington,0.0,0.0
35,2020-02-26,Washington,0.0,0.0
36,2020-02-27,Washington,0.0,0.0
37,2020-02-28,Washington,0.0,0.0
38,2020-02-29,Washington,0.0,24.0
2118,2020-03-01,Rhode Island,255053.0,2.0
39,2020-03-01,Washington,18.0,83.0
40,2020-03-02,Washington,34.0,240.0
2119,2020-03-02,Rhode Island,2.0,3.0
41,2020-03-03,Washington,65.0,441.0
2120,2020-03-03,Rhode Island,2.0,5.0
2962,2020-03-03,New York,0.0,0.0
675,2020-03-04,Florida,2.0,24.0
5745,2020-03-04,New Hampshire,787573.0,10.0
4911,2020-03-04,Arizona,232099.0,27.0
4077,2020-03-04,Colorado,1341700.0,19.0
4633,2020-03-04,South Carolina,1249323.0,5.0
2963,2020-03-04,New York,1.0,9.0
2121,2020-03-04,Rhode Island,2.0,15.0
42,2020-03-04,Washington,90.0,654.0
3799,2020-03-04,California,441067.0,462.0
6579,2020-03-04,Oregon,443822.0,29.0
5467,2020-03-04,Illinois,394990.0,124.0
8242,2020-03-05,Nevada,215027.0,14.0
3522,2020-03-05,Wisconsin,1.0,19.0
7965,2020-03-05,Maryland,108088.0,17.0
5746,2020-03-05,New Hampshire,2.0,16.0
5468,2020-03-05,Illinois,4.0,165.0
4634,2020-03-05,South Carolina,0.0,5.0
