,month,state,positive
0,April,AK,432045.0
1,April,AL,648989.0
2,April,AR,486582.0
3,April,AZ,627434.0
4,April,CA,479855.0
5,April,CO,532611.0
6,April,CT,243404.0
7,April,DC,474379.0
8,April,DE,453651.0
9,April,FL,141099.0
10,April,GA,292119.0
11,April,HI,302940.0
12,April,IA,738673.0
13,April,ID,558722.0
14,April,IL,550469.0
15,April,IN,304677.0
16,April,KS,571779.0
17,April,KY,360776.0
18,April,LA,410149.0
19,April,MA,266229.0
20,April,MD,280935.0
21,April,ME,333141.0
22,April,MI,199521.0
23,April,MN,542763.0
24,April,MO,595243.0
25,April,MS,449231.0
26,April,MT,690665.0
27,April,NC,288906.0
28,April,ND,485223.0
29,April,NE,171430.0
30,April,NH,221861.0
31,April,NJ,194996.0
32,April,NM,441284.0
33,April,NV,450608.0
34,April,NY,351180.0
35,April,OH,439021.0
36,April,OK,160474.0
37,April,OR,173216.0
38,April,PA,309247.0
39,April,RI,237061.0
40,April,SC,412506.0
41,April,SD,318671.0
42,April,TN,306430.0
43,April,TX,162183.0
44,April,UT,295137.0
45,April,VA,297009.0
46,April,VT,572592.0
47,April,WA,325036.0
48,April,WI,376151.0
49,April,WV,374641.0
50,April,WY,263898.0
51,August,AK,2685578.0
52,August,AL,4127598.0
53,August,AR,4090062.0
54,August,AZ,3492689.0
55,August,CA,3780164.0
56,August,CO,2212756.0
57,August,CT,4405180.0
58,August,DC,4608211.0
59,August,DE,3402241.0
60,August,FL,2444726.0
61,August,GA,4317676.0
62,August,HI,3306049.0
63,August,IA,3207605.0
64,August,ID,3839901.0
65,August,IL,2404781.0
66,August,IN,2482221.0
67,August,KS,3665525.0
68,August,KY,3291152.0
69,August,LA,5449600.0
70,August,MA,3341589.0
71,August,MD,2221917.0
72,August,ME,3495239.0
73,August,MI,4215150.0
74,August,MN,2435977.0
75,August,MO,2863148.0
76,August,MS,2796120.0
77,August,MT,2440201.0
78,August,NC,3852879.0
79,August,ND,2399763.0
80,August,NE,3675633.0
81,August,NH,3600009.0
82,August,NJ,2268414.0
83,August,NM,4005697.0
84,August,NV,3592838.0
85,August,NY,1836281.0
86,August,OH,4368309.0
87,August,OK,2291982.0
88,August,OR,2879463.0
89,August,PA,2782990.0
90,August,RI,2757503.0
91,August,SC,3099286.0
92,August,SD,2697013.0
93,August,TN,3730575.0
94,August,TX,1877028.0
95,August,UT,3377948.0
96,August,VA,3437330.0
97,August,VT,3039335.0
98,August,WA,3813312.0
99,August,WI,2908916.0
100,August,WV,2425147.0
101,August,WY,2740653.0
102,December,AK,1776407.0
103,December,AL,2787676.0
104,December,AR,1633205.0
105,December,AZ,1005311.0
106,December,CA,1011091.0
107,December,CO,734985.0
108,December,CT,940670.0
109,December,DC,1888608.0
110,December,DE,1046704.0
111,December,FL,2247964.0
112,December,GA,1013139.0
113,December,HI,1336088.0
114,December,IA,2433368.0
115,December,ID,1854140.0
116,December,IL,2108977.0
117,December,IN,2350935.0
118,December,KS,925114.0
119,December,KY,1549989.0
120,December,LA,1111562.0
121,December,MA,2081306.0
122,December,MD,1066586.0
123,December,ME,1467358.0
124,December,MI,602233.0
125,December,MN,3093362.0
126,December,MO,1798051.0
127,December,MS,1818190.0
128,December,MT,3100348.0
129,December,NC,1737627.0
130,December,ND,1111006.0
131,December,NE,3277948.0
132,December,NH,1182063.0
133,December,NJ,840383.0
134,December,NM,1443290.0
135,December,NV,2281435.0
136,December,NY,1678960.0
137,December,OH,1001740.0
138,December,OK,822927.0
139,December,OR,1075955.0
140,December,PA,721445.0
141,December,RI,2056695.0
142,December,SC,1251366.0
143,December,SD,3814474.0
144,December,TN,2071329.0
145,December,TX,834858.0
146,December,UT,1460968.0
147,December,VA,1892132.0
148,December,VT,1438512.0
149,December,WA,2292963.0
150,December,WI,891601.0
151,December,WV,2539714.0
152,December,WY,1346299.0
153,February,FL,0.0
154,February,IN,0.0
155,February,MA,0.0
156,February,NE,0.0
157,February,NJ,0.0
158,February,VA,0.0
159,February,WA,0.0
160,January,FL,0.0
161,January,MA,0.0
162,January,WA,0.0
163,July,AK,2154552.0
164,July,AL,2182010.0
165,July,AR,2021538.0
166,July,AZ,2010532.0
167,July,CA,1684113.0
168,July,CO,2498094.0
169,July,CT,2266416.0
170,July,DC,2063833.0
171,July,DE,2132790.0
172,July,FL,2249153.0
173,July,GA,1891073.0
174,July,HI,2404933.0
