,month,state,City,POPESTIMATE2020,positive,negative
0,April,AK,Alaska,731158.0,8063.0,294877.0
1,April,AL,Alabama,4921532.0,116864.0,1030397.0
2,April,AR,Arkansas,3030522.0,49660.0,668405.0
3,April,AZ,Arizona,7421401.0,122295.0,1273359.0
4,April,CA,California,39368078.0,766011.0,7677813.0
5,April,CO,Colorado,5807719.0,251995.0,1020284.0
6,April,CT,Connecticut,3557006.0,439750.0,1098414.0
7,April,DC,District of Columbia,712816.0,67122.0,293640.0
8,April,DE,Delaware,986809.0,62103.0,326141.0
9,April,FL,Florida,21733312.0,599067.0,6037170.0
10,April,GA,Georgia,10710017.0,440078.0,1711240.0
11,April,HI,Hawaii,1407006.0,14303.0,598664.0
12,April,IA,Iowa,3163561.0,76971.0,590114.0
13,April,ID,Idaho,1826913.0,42656.0,425569.0
14,April,IL,Illinois,12587530.0,755393.0,3120699.0
15,April,IN,Indiana,6754953.0,273922.0,1267570.0
16,April,KS,Kansas,2913805.0,50691.0,439690.0
17,April,KY,Kentucky,4477251.0,66458.0,819330.0
18,April,LA,Louisiana,4645318.0,602396.0,2712953.0
19,April,MA,Massachusetts,6893574.0,932382.0,3475686.0
20,April,MD,Maryland,6055802.0,306220.0,1500033.0
21,April,ME,Maine,1350141.0,21566.0,351384.0
22,April,MI,Michigan,9966555.0,1007829.0,2547755.0
23,April,MN,Minnesota,5657342.0,85668.0,1293714.0
24,April,MO,Missouri,6151548.0,138221.0,1317616.0
25,April,MS,Mississippi,2966786.0,103843.0,977730.0
26,April,MT,Montana,1080577.0,11178.0,278435.0
27,April,NC,North Carolina,10600823.0,159553.0,1976917.0
28,April,ND,North Dakota,765309.0,13859.0,377916.0
29,April,NE,Nebraska,1937552.0,36382.0,353232.0
30,April,NH,New Hampshire,1366275.0,33527.0,348891.0
31,April,NJ,New Jersey,8882371.0,2086679.0,2306826.0
32,April,NM,New Mexico,2106319.0,46425.0,1036922.0
33,April,NV,Nevada,3138259.0,93333.0,734617.0
34,April,NY,New York,19336776.0,5999866.0,10064183.0
35,April,OH,Ohio,11693217.0,271328.0,2045067.0
36,April,OK,Oklahoma,3980783.0,64836.0,838780.0
37,April,OR,Oregon,4241507.0,48504.0,978615.0
38,April,PA,Pennsylvania,12783254.0,760690.0,3358557.0
39,April,RI,Rhode Island,1057125.0,122368.0,737243.0
40,April,SC,South Carolina,5218040.0,106727.0,907789.0
41,April,SD,South Dakota,892717.0,33888.0,277854.0
42,April,TN,Tennessee,6886834.0,182861.0,2542823.0
43,April,TX,Texas,29360759.0,450451.0,4524463.0
44,April,UT,Utah,3249879.0,78393.0,1791428.0
45,April,VA,Virginia,8590563.0,209291.0,1234856.0
46,April,VT,Vermont,623347.0,20692.0,268960.0
47,April,WA,Washington,7693612.0,341856.0,4270484.0
48,April,WI,Wisconsin,5832655.0,134267.0,1244921.0
49,April,WV,West Virginia,1784787.0,20017.0,608669.0
50,April,WY,Wyoming,582328.0,10676.0,172432.0
51,August,AK,Alaska,731158.0,128846.0,9170572.0
52,August,AL,Alabama,4921532.0,3314875.0,22782688.0
53,August,AR,Arkansas,3030522.0,1613808.0,17392351.0
54,August,AZ,Arizona,7421401.0,5922373.0,27617174.0
55,August,CA,California,39368078.0,18684239.0,282077851.0
56,August,CO,Colorado,5807719.0,1626720.0,17819687.0
57,August,CT,Connecticut,3557006.0,1582393.0,28427669.0
58,August,DC,District of Columbia,712816.0,405983.0,7076650.0
59,August,DE,Delaware,986809.0,500799.0,6008310.0
60,August,FL,Florida,21733312.0,17105204.0,112470532.0
61,August,GA,Georgia,10710017.0,7176522.0,54582697.0
62,August,HI,Hawaii,1407006.0,146147.0,4774790.0
63,August,IA,Iowa,3163561.0,1616965.0,15390662.0
64,August,ID,Idaho,1826913.0,820773.0,6003395.0
65,August,IL,Illinois,12587530.0,6398336.0,98377125.0
66,August,IN,Indiana,6754953.0,2460312.0,25773823.0
67,August,KS,Kansas,2913805.0,1055247.0,9751157.0
68,August,KY,Kentucky,4477251.0,1199978.0,20727673.0
69,August,LA,Louisiana,4645318.0,4192769.0,46734032.0
70,August,MA,Massachusetts,6893574.0,3811743.0,41193097.0
71,August,MD,Maryland,6055802.0,3067094.0,32072110.0
72,August,ME,Maine,1350141.0,129306.0,6424361.0
73,August,MI,Michigan,9966555.0,3138256.0,68470710.0
74,August,MN,Minnesota,5657342.0,1997466.0,28731020.0
75,August,MO,Missouri,6151548.0,2050384.0,23951538.0
76,August,MS,Mississippi,2966786.0,2211250.0,13790927.0
77,August,MT,Montana,1080577.0,173329.0,6237364.0
78,August,NC,North Carolina,10600823.0,4454430.0,57258878.0
79,August,ND,North Dakota,765309.0,267476.0,5282714.0
80,August,NE,Nebraska,1937552.0,923009.0,8950157.0
81,August,NH,New Hampshire,1366275.0,214974.0,5509677.0
82,August,NJ,New Jersey,8882371.0,5791940.0,71026507.0
83,August,NM,New Mexico,2106319.0,717107.0,20037586.0
84,August,NV,Nevada,3138259.0,1854015.0,14949737.0
85,August,NY,New York,19336776.0,13163134.0,205897243.0
86,August,OH,Ohio,11693217.0,3311529.0,53504239.0
87,August,OK,Oklahoma,3980783.0,1470457.0,21910752.0
88,August,OR,Oregon,4241507.0,705079.0,14282060.0
89,August,PA,Pennsylvania,12783254.0,3816543.0,41086435.0
90,August,RI,Rhode Island,1057125.0,633464.0,6717213.0
91,August,SC,South Carolina,5218040.0,3248590.0,22860202.0
92,August,SD,South Dakota,892717.0,322248.0,3660777.0
93,August,TN,Tennessee,6886834.0,4056144.0,53757897.0
94,August,TX,Texas,29360759.0,16248590.0,118722123.0
95,August,UT,Utah,3249879.0,1430608.0,17114973.0
96,August,VA,Virginia,8590563.0,3259644.0,38718142.0
97,August,VT,Vermont,623347.0,46648.0,3369138.0
98,August,WA,Washington,7693612.0,2100626.0,37908654.0
99,August,WI,Wisconsin,5832655.0,2139731.0,32585463.0
100,August,WV,West Virginia,1784787.0,258914.0,10840777.0
101,August,WY,Wyoming,582328.0,101243.0,1840717.0
102,December,AK,Alaska,731158.0,197983.0,6076772.0
103,December,AL,Alabama,4921532.0,1551399.0,8417948.0
104,December,AR,Arkansas,3030522.0,979018.0,9497985.0
105,December,AZ,Arizona,7421401.0,2062357.0,11881041.0
106,December,CA,California,39368078.0,7546826.0,140032022.0
107,December,CO,Colorado,5807719.0,1468165.0,9407945.0
108,December,CT,Connecticut,3557006.0,739082.0,19524555.0
109,December,DC,District of Columbia,712816.0,132595.0,4154968.0
110,December,DE,Delaware,986809.0,223645.0,2373083.0
111,December,FL,Florida,21733312.0,6044442.0,38399684.0
112,December,GA,Georgia,10710017.0,2589712.0,23864467.0
113,December,HI,Hawaii,1407006.0,110658.0,1770918.0
114,December,IA,Iowa,3163561.0,1241677.0,5264501.0
115,December,ID,Idaho,1826913.0,625042.0,2359206.0
116,December,IL,Illinois,12587530.0,4523378.0,60577270.0
117,December,IN,Indiana,6754953.0,2136098.0,11397725.0
118,December,KS,Kansas,2913805.0,975604.0,4034353.0
119,December,KY,Kentucky,4477251.0,1131833.0,15129717.0
120,December,LA,Louisiana,4645318.0,1449921.0,19787372.0
121,December,MA,Massachusetts,6893574.0,1428891.0,19180218.0
