,state,City,POPESTIMATE2020,positive,negative
0,AK,Alaska,731158.0,1621040.0,77033703.0
1,AL,Alabama,4921532.0,24228288.0,159567202.0
2,AR,Arkansas,3030522.0,13671266.0,147104865.0
3,AZ,Arizona,7421401.0,35762140.0,201917924.0
4,CA,California,39368078.0,125742663.0,2183819832.0
5,CO,Colorado,5807719.0,16817857.0,142930238.0
6,CT,Connecticut,3557006.0,13306886.0,259613004.0
7,DC,District of Columbia,712816.0,3366043.0,58917999.0
8,DE,Delaware,986809.0,4042598.0,43323206.0
9,FL,Florida,21733312.0,106045873.0,751142471.0
10,GA,Georgia,10710017.0,48130906.0,406954073.0
11,HI,Hawaii,1407006.0,1603917.0,38771843.0
12,IA,Iowa,3163561.0,15415225.0,107053275.0
13,ID,Idaho,1826913.0,7258855.0,43031096.0
14,IL,Illinois,12587530.0,59325694.0,862140450.0
15,IN,Indiana,6754953.0,23750124.0,197985426.0
16,KS,Kansas,2913805.0,10872354.0,73094086.0
17,KY,Kentucky,4477251.0,12363073.0,204719106.0
18,LA,Louisiana,4645318.0,27872485.0,338397057.0
19,MA,Massachusetts,6893574.0,29239618.0,336811777.0
20,MD,Maryland,6055802.0,22732166.0,233073975.0
21,ME,Maine,1350141.0,1236126.0,67859719.0
22,MI,Michigan,9966555.0,30090594.0,569291217.0
23,MN,Minnesota,5657342.0,20037079.0,225225064.0
24,MO,Missouri,6151548.0,20893534.0,175184257.0
25,MS,Mississippi,2966786.0,15869624.0,106130305.0
26,MT,Montana,1080577.0,3045523.0,53569922.0
27,NC,North Carolina,10600823.0,34424996.0,461090490.0
28,ND,North Dakota,765309.0,4364140.0,36647384.0
29,NE,Nebraska,1937552.0,8978990.0,67315095.0
30,NH,New Hampshire,1366275.0,2599038.0,43686055.0
31,NJ,New Jersey,8882371.0,46021578.0,559074051.0
32,NM,New Mexico,2106319.0,6763714.0,149940762.0
33,NV,Nevada,3138259.0,13292261.0,100621631.0
34,NY,New York,19336776.0,103777740.0,1725435452.0
35,OH,Ohio,11693217.0,29252115.0,484990822.0
36,OK,Oklahoma,3980783.0,13983896.0,179297720.0
37,OR,Oregon,4241507.0,6182368.0,112262019.0
38,PA,Pennsylvania,12783254.0,32390495.0,307108742.0
39,RI,Rhode Island,1057125.0,5656958.0,54330594.0
40,SC,South Carolina,5218040.0,23589303.0,192892602.0
41,SD,South Dakota,892717.0,4847915.0,28210252.0
42,TN,Tennessee,6886834.0,31812873.0,421487097.0
43,TX,Texas,29360759.0,113497755.0,910191843.0
44,UT,Utah,3249879.0,13803992.0,129216420.0
45,VA,Virginia,8590563.0,24998458.0,302996183.0
46,VT,Vermont,623347.0,401623.0,25346392.0
47,WA,Washington,7693612.0,15680936.0,299026434.0
48,WI,Wisconsin,5832655.0,25479912.0,234804376.0
49,WV,West Virginia,1784787.0,3054347.0,93067175.0
50,WY,Wyoming,582328.0,1527360.0,15234707.0
