,date,state,City,positive,Latitude,Longitude
0,01/22/20,WA,Washington,,38.8993487,-77.0145665
1,01/22/20,MA,Massachusetts,,42.0629398,-71.718067
2,01/23/20,MA,Massachusetts,,42.0629398,-71.718067
3,01/23/20,WA,Washington,,38.8993487,-77.0145665
4,01/24/20,WA,Washington,0.0,38.8993487,-77.0145665
5,01/24/20,MA,Massachusetts,,42.0629398,-71.718067
6,01/25/20,WA,Washington,,38.8993487,-77.0145665
7,01/25/20,MA,Massachusetts,,42.0629398,-71.718067
8,01/26/20,WA,Washington,,38.8993487,-77.0145665
9,01/26/20,MA,Massachusetts,,42.0629398,-71.718067
10,01/27/20,WA,Washington,,38.8993487,-77.0145665
11,01/27/20,MA,Massachusetts,,42.0629398,-71.718067
12,01/28/20,WA,Washington,,38.8993487,-77.0145665
13,01/28/20,MA,Massachusetts,,42.0629398,-71.718067
14,01/29/20,MA,Massachusetts,,42.0629398,-71.718067
15,01/29/20,WA,Washington,,38.8993487,-77.0145665
16,01/29/20,FL,Florida,0.0,27.9757279,-83.8330166
17,01/30/20,MA,Massachusetts,,42.0629398,-71.718067
18,01/30/20,WA,Washington,,38.8993487,-77.0145665
19,01/30/20,FL,Florida,0.0,27.9757279,-83.8330166
20,01/31/20,WA,Washington,0.0,38.8993487,-77.0145665
21,01/31/20,MA,Massachusetts,,42.0629398,-71.718067
22,01/31/20,FL,Florida,,27.9757279,-83.8330166
23,02/01/20,FL,Florida,0.0,27.9757279,-83.8330166
24,02/01/20,WA,Washington,0.0,38.8993487,-77.0145665
25,02/01/20,MA,Massachusetts,,42.0629398,-71.718067
26,02/02/20,MA,Massachusetts,,42.0629398,-71.718067
27,02/02/20,WA,Washington,,38.8993487,-77.0145665
28,02/02/20,FL,Florida,0.0,27.9757279,-83.8330166
29,02/03/20,FL,Florida,0.0,27.9757279,-83.8330166
30,02/03/20,WA,Washington,0.0,38.8993487,-77.0145665
31,02/03/20,MA,Massachusetts,,42.0629398,-71.718067
32,02/04/20,FL,Florida,,27.9757279,-83.8330166
33,02/04/20,WA,Washington,0.0,38.8993487,-77.0145665
34,02/04/20,MA,Massachusetts,,42.0629398,-71.718067
35,02/05/20,FL,Florida,,27.9757279,-83.8330166
36,02/05/20,WA,Washington,0.0,38.8993487,-77.0145665
37,02/05/20,MA,Massachusetts,,42.0629398,-71.718067
38,02/06/20,FL,Florida,,27.9757279,-83.8330166
39,02/06/20,MA,Massachusetts,,42.0629398,-71.718067
40,02/06/20,WA,Washington,,38.8993487,-77.0145665
41,02/07/20,WA,Washington,0.0,38.8993487,-77.0145665
42,02/07/20,FL,Florida,0.0,27.9757279,-83.8330166
43,02/07/20,MA,Massachusetts,,42.0629398,-71.718067
44,02/08/20,MA,Massachusetts,,42.0629398,-71.718067
45,02/08/20,WA,Washington,,38.8993487,-77.0145665
46,02/08/20,FL,Florida,0.0,27.9757279,-83.8330166
47,02/09/20,FL,Florida,0.0,27.9757279,-83.8330166
48,02/09/20,WA,Washington,0.0,38.8993487,-77.0145665
49,02/09/20,MA,Massachusetts,,42.0629398,-71.718067
50,02/10/20,FL,Florida,,27.9757279,-83.8330166
51,02/10/20,NJ,New Jersey,,40.1430058,-74.7311156
52,02/10/20,WA,Washington,,38.8993487,-77.0145665
53,02/10/20,MA,Massachusetts,,42.0629398,-71.718067
54,02/11/20,WA,Washington,,38.8993487,-77.0145665
55,02/11/20,NJ,New Jersey,,40.1430058,-74.7311156
56,02/11/20,MA,Massachusetts,,42.0629398,-71.718067
57,02/11/20,FL,Florida,,27.9757279,-83.8330166
58,02/12/20,NJ,New Jersey,,40.1430058,-74.7311156
59,02/12/20,MA,Massachusetts,,42.0629398,-71.718067
60,02/12/20,FL,Florida,,27.9757279,-83.8330166
61,02/12/20,WA,Washington,0.0,38.8993487,-77.0145665
62,02/13/20,MA,Massachusetts,,42.0629398,-71.718067
63,02/13/20,NJ,New Jersey,,40.1430058,-74.7311156
64,02/13/20,WA,Washington,,38.8993487,-77.0145665
65,02/13/20,FL,Florida,0.0,27.9757279,-83.8330166
66,02/14/20,NJ,New Jersey,,40.1430058,-74.7311156
67,02/14/20,FL,Florida,,27.9757279,-83.8330166
68,02/14/20,MA,Massachusetts,,42.0629398,-71.718067
69,02/14/20,WA,Washington,,38.8993487,-77.0145665
70,02/15/20,NJ,New Jersey,,40.1430058,-74.7311156
71,02/15/20,FL,Florida,,27.9757279,-83.8330166
72,02/15/20,WA,Washington,0.0,38.8993487,-77.0145665
73,02/15/20,NE,Nebraska,,41.5008195,-99.680902
74,02/15/20,MA,Massachusetts,,42.0629398,-71.718067
75,02/16/20,FL,Florida,,27.9757279,-83.8330166
76,02/16/20,MA,Massachusetts,,42.0629398,-71.718067
77,02/16/20,NE,Nebraska,,41.5008195,-99.680902
78,02/16/20,WA,Washington,,38.8993487,-77.0145665
79,02/16/20,NJ,New Jersey,,40.1430058,-74.7311156
80,02/17/20,WA,Washington,,38.8993487,-77.0145665
81,02/17/20,FL,Florida,0.0,27.9757279,-83.8330166
82,02/17/20,MA,Massachusetts,,42.0629398,-71.718067
83,02/17/20,NJ,New Jersey,,40.1430058,-74.7311156
84,02/17/20,NE,Nebraska,,41.5008195,-99.680902
85,02/18/20,FL,Florida,,27.9757279,-83.8330166
86,02/18/20,MA,Massachusetts,,42.0629398,-71.718067
87,02/18/20,NJ,New Jersey,,40.1430058,-74.7311156
88,02/18/20,NE,Nebraska,,41.5008195,-99.680902
89,02/18/20,WA,Washington,,38.8993487,-77.0145665
90,02/19/20,FL,Florida,0.0,27.9757279,-83.8330166
91,02/19/20,MA,Massachusetts,,42.0629398,-71.718067
92,02/19/20,NE,Nebraska,,41.5008195,-99.680902
93,02/19/20,WA,Washington,,38.8993487,-77.0145665
94,02/19/20,NJ,New Jersey,,40.1430058,-74.7311156
95,02/20/20,FL,Florida,,27.9757279,-83.8330166
96,02/20/20,NJ,New Jersey,,40.1430058,-74.7311156
97,02/20/20,MA,Massachusetts,,42.0629398,-71.718067
98,02/20/20,NE,Nebraska,,41.5008195,-99.680902
99,02/20/20,WA,Washington,,38.8993487,-77.0145665
100,02/21/20,NE,Nebraska,,41.5008195,-99.680902
101,02/21/20,NJ,New Jersey,,40.1430058,-74.7311156
102,02/21/20,WA,Washington,,38.8993487,-77.0145665
103,02/21/20,FL,Florida,0.0,27.9757279,-83.8330166
104,02/21/20,MA,Massachusetts,,42.0629398,-71.718067
105,02/22/20,MA,Massachusetts,,42.0629398,-71.718067
106,02/22/20,NJ,New Jersey,,40.1430058,-74.7311156
107,02/22/20,WA,Washington,,38.8993487,-77.0145665
108,02/22/20,FL,Florida,0.0,27.9757279,-83.8330166
109,02/22/20,NE,Nebraska,,41.5008195,-99.680902
110,02/23/20,MA,Massachusetts,,42.0629398,-71.718067
111,02/23/20,NJ,New Jersey,,40.1430058,-74.7311156
112,02/23/20,FL,Florida,,27.9757279,-83.8330166
113,02/23/20,WA,Washington,0.0,38.8993487,-77.0145665
114,02/23/20,NE,Nebraska,,41.5008195,-99.680902
115,02/24/20,NJ,New Jersey,,40.1430058,-74.7311156
116,02/24/20,NE,Nebraska,,41.5008195,-99.680902
117,02/24/20,WA,Washington,,38.8993487,-77.0145665
118,02/24/20,FL,Florida,0.0,27.9757279,-83.8330166
119,02/24/20,MA,Massachusetts,,42.0629398,-71.718067
120,02/25/20,MA,Massachusetts,,42.0629398,-71.718067
